id,town,area,latitude,longitude,region
07-002-0079,bg,embassy,42.688736,23.359145,8
07-002-0080,gb,embassy,51.501618,-0.186789,8
07-002-0081,hu,embassy,47.531685,19.019808,8
07-002-0082,ve,embassy,10.505867,-66.827486,8
07-002-0083,vn,embassy,21.068707,105.823755,8
07-002-0084,de,embassy,52.486977,13.463737,8
07-002-0085,de,embassy,48.137187,11.598697,8
07-002-0086,ge,embassy,41.674289,44.819398,8
07-002-0087,il,embassy,32.078695,34.774595,8
07-002-0088,es,embassy,40.48341,-3.668083,8
07-002-0089,it,embassy,41.936681,12.536789,8
07-002-0090,kz,embassy,51.165097,71.422238,8
07-002-0091,ca,embassy,45.418854,-75.705691,8
07-002-0092,cn,embassy,39.91648,116.448534,8
07-002-0093,cu,embassy,23.1066,-82.372385,8
07-002-0094,lv,embassy,56.941858,24.124805,8
07-002-0095,lv,embassy,55.867087,26.530248,8
07-002-0096,lt,embassy,54.677292,25.273247,8
07-002-0097,md,embassy,46.999738,28.82138,8
07-002-0098,nl,embassy,52.085024,4.288493,8
07-002-0099,pl,embassy,52.171792,21.081845,8
07-002-0100,pl,embassy,53.130338,23.172274,8
07-002-0101,pl,embassy,52.039998,23.107047,8
07-002-0102,ru,embassy,55.758309,37.63807,8
07-002-0103,ru,embassy,59.943941,30.39141,8
07-002-0104,ru,embassy,54.714764,20.470685,8
07-002-0105,rs,embassy,44.8011,20.464515,8
07-002-0106,sk,embassy,48.143488,17.088311,8
07-002-0107,us,embassy,38.91211,-77.04065,8
07-002-0108,us,embassy,40.752439,-73.973736,8
